producto_id,fecha,cantidad_real
1,2022-01-02,0.10823529411764705
1,2022-01-09,0.09647058823529411
1,2022-01-16,0.09500000000000001
1,2022-01-23,0.10888888888888888
1,2022-01-30,0.09789473684210526
1,2022-01-31,0.10388888888888889
1,2022-02-06,0.13625
1,2022-02-13,0.162
1,2022-02-20,0.12875
1,2022-02-27,0.128125
1,2022-02-28,0.10263157894736842
1,2022-03-06,0.16266666666666665
1,2022-03-13,0.15750000000000003
1,2022-03-20,0.1452941176470588
1,2022-03-27,0.14722222222222223
1,2022-03-31,0.13611111111111113
1,2022-04-03,0.17952380952380956
1,2022-04-10,0.21111111111111114
1,2022-04-17,0.23687499999999997
1,2022-04-24,0.21052631578947367
1,2022-04-30,0.182
1,2022-05-01,0.15705882352941175
1,2022-05-08,0.1475
1,2022-05-15,0.16642857142857143
1,2022-05-22,0.151875
1,2022-05-29,0.14157894736842105
1,2022-05-31,0.15352941176470591
1,2022-06-05,0.13
1,2022-06-12,0.10733333333333334
1,2022-06-19,0.12000000000000001
1,2022-06-26,0.08555555555555555
1,2022-06-30,0.12066666666666667
1,2022-07-03,0.14800000000000002
1,2022-07-10,0.12705882352941178
1,2022-07-17,0.14058823529411765
1,2022-07-24,0.164375
1,2022-07-31,0.11611111111111111
1,2022-08-07,0.1405263157894737
1,2022-08-14,0.14058823529411765
1,2022-08-21,0.16578947368421051
1,2022-08-28,0.126
1,2022-08-31,0.1588888888888889
1,2022-09-04,0.1165
1,2022-09-11,0.11894736842105262
1,2022-09-18,0.12227272727272727
1,2022-09-25,0.12047619047619047
1,2022-09-30,0.11333333333333333
1,2022-10-02,0.1135
1,2022-10-09,0.11789473684210527
1,2022-10-16,0.12181818181818183
1,2022-10-23,0.13526315789473686
1,2022-10-30,0.09818181818181819
1,2022-10-31,0.10947368421052632
1,2022-11-06,0.10913043478260868
1,2022-11-13,0.1131578947368421
1,2022-11-20,0.1411764705882353
1,2022-11-27,0.1
1,2022-11-30,0.13157894736842105
